name,version,ecosystem,license,license_file,license_evidence,homepage,repository,source,purl,direct
walkdir,2.5.0,cargo,Unlicense/MIT,,,https://github.com/BurntSushi/walkdir,https://github.com/BurntSushi/walkdir,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/walkdir@2.5.0,False
wasi,0.14.2+wasi-0.2.4,cargo,Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT,,,,https://github.com/bytecodealliance/wasi-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/wasi@0.14.2+wasi-0.2.4,False
wasm-bindgen,0.2.104,cargo,MIT OR Apache-2.0,,,https://wasm-bindgen.github.io/wasm-bindgen,https://github.com/wasm-bindgen/wasm-bindgen,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/wasm-bindgen@0.2.104,False
wasm-bindgen-backend,0.2.104,cargo,MIT OR Apache-2.0,,,https://wasm-bindgen.github.io/wasm-bindgen/,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/backend,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/wasm-bindgen-backend@0.2.104,False
wasm-bindgen-macro,0.2.104,cargo,MIT OR Apache-2.0,,,https://wasm-bindgen.github.io/wasm-bindgen/,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/macro,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/wasm-bindgen-macro@0.2.104,False
wasm-bindgen-macro-support,0.2.104,cargo,MIT OR Apache-2.0,,,https://wasm-bindgen.github.io/wasm-bindgen/,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/macro-support,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/wasm-bindgen-macro-support@0.2.104,False
wasm-bindgen-shared,0.2.104,cargo,MIT OR Apache-2.0,,,https://wasm-bindgen.github.io/wasm-bindgen/,https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/shared,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/wasm-bindgen-shared@0.2.104,False
web-time,1.1.0,cargo,MIT OR Apache-2.0,,,,https://github.com/daxpedda/web-time,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/web-time@1.1.0,False
which,8.0.0,cargo,MIT,,,,https://github.com/harryfei/which-rs.git,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/which@8.0.0,False
winapi-util,0.1.11,cargo,Unlicense OR MIT,,,https://github.com/BurntSushi/winapi-util,https://github.com/BurntSushi/winapi-util,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/winapi-util@0.1.11,False
windows-link,0.1.3,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows-link@0.1.3,False
windows-sys,0.59.0,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows-sys@0.59.0,False
windows-sys,0.60.2,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows-sys@0.60.2,False
windows-targets,0.52.6,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows-targets@0.52.6,False
